lat,lon,issue,culture,info,link
62.355382,-140.856532,<h4>Old Kingdom to Coptic Period</h4>,<h3>Gebel el-Haridi</h3>,"The preliminary surveys of Gebel el-Haridi revealed significant archaeological material from the Old Kingdom to the Coptic period. The archaeological remains that were discovered illustrate several types of continued occupation at the site. A large stone quarry, rock-cut tombs used as necropolis and an enclosed mud-brick settlement were all found within the boundaries. George Wilkinson, Robert Hay, Nestor Lâ€™Hote and Bonomi traveled the Gebel el-Haridi region during the nineteenth century. These men recorded what they saw as they travelled through the region, such as Ptolemaic quarries, Christian brick ruins, tombs, and mutilated statues.",<a href='sites/gebel-el-haridi.html'>MORE DETAILS</a>
35.4215,35.4215,<h3> The issue </h3>,<h4> The community </h4>,"""This is my issue blah blah blah...""","""<a href='sites/gebel-al-haridi.html'>MORE DETAILS</a>"""
43.2425369,-99.4730503,<h3>Sexual Assault</h3>,<h4>Lakota People</h4>,"""Some say that the rates of sexual assault on reservations in the United States is an epidemic of sorts. This ""epidemic"" exists in a context of colonization and the consequences of colonization such as high rates of poverty, unemployment, and substance abuse. This entry will examine sexual assault in the Lakota community of South Dakota and how they are responding to this problem.""","""<a href='sites/lakotawomen.html'>MORE DETAILS</a>"""
44.28398,-86.241791,<h3>Solutions to Poverty</h3>,<h4>Little River Band of Ottawa Indians</h4>,"""This is a sample paragraph that I will fill in later on.""",<a href='https://www.mail.msu.edu'>MORE DETAILS</a>
34.785,-96.679167,<h3>Food and Nutrition Within the Chickasaw Nation</h3>,<h4>Chickasaw Nation</h4>,"""The issues of nutrition and food type within the Chickasaw Nation, located in Oklahoma, are plenty. Before settlers came to Chickasaw territory, they were an indigenous people whom depended on the land for many things, including sustenance. But after selling some of their land to the government to pay back a debt and having to deal with settlers stealing other parts of their land, they had to turn to farming to sustain themselves, on food such as wheat and corn. Currently, type 2 diabetes is a major health issue within the Chickasaw Nation. This serious health problem stems from the types of food these people are now being provided to eat. Programs such as Get Fresh! and The Eagle Adventure Program have been put into place as ways to combat the proliferation of Type II Diabetes within the Chickasaw Nation.""",<a href='sites/chickasaw-nutrition.html'>MORE DETAILS</a>
19.42115,-155.04466,<h3>Hawaiian Language Revitalization </h3>,<h4> Native Hawaiians </h4>,"""The Hawaiian language has slowly trickled away due to settler colonialism.""","<a href='https://www.google.com/maps/place/19°42'11.5%22N+155°04'46.6%22W/@19.7252089,-155.2039737,10.66z/data=!4m2!3m1!1s0x0:0x0'</a>"
33.5524,-117.2609,<h3>Creating a Community at an Off-Reservation Boarding School</h3>,"<h4>Sherman Indian High School - Riverside, California</h4>","""The Sherman Indian High School opened in 1902 when the government opened many boarding schools in attempts to assimilate Native Americans into the dominant culture. Today the school is one of four off-reservation boarding schools still open and has changed greatly. Today the school focuses on educating high school students in a variety of career pathways, providing at-risk students with opportunities to change and creating a community for their students""",<a href='http://mcbratnie15.github.io/indian-country-ss16.'>More Details</a>
36.105608,-109.632809,<h3>Nuclear Energy conundrum</h3>,<h4>Navajo</h4>,"""I will be exploring the Navajo Nations energy production and how it effects their surrounding area in both the Urban and rural areas.""","""<a href='www.google.com'></a>"
34.769733,-96.661214,<h3>Language Revitalization</h3>,<h4>Chickasaw</h4>,"""The Chickasaw Nation, one of the Five Civilized Tribes, has approximately 50,000 members and covers over 7,600 square miles within 13 counties of south-central Oklahoma. Having been forcibly removed from their ancestral homelands in the southeast after the Indian Removal Act of 1830, the Chickasaw suffered a great deal of cultural and linguistic loss. Currently, only about 70 fluent speakers of the Chickasaw language remain. Seeing the impact this loss has had on its people, the Chickasaw Nation has implemented a number of diverse programs in an attempt to revitalize these ways of life.""","""<a href='sites/chickasaw-language-revitalization.html'>MORE DETAILS</a>"""
35.185217,-111.620726,<h3> American Indian Youths and Suicide</h3>,"<h4> Flagstaff, AZ </h4>","""Suicide is a serious issue that has had a negative effect globally. Our nation’s children, from around the ages of new teens to young adults, all suffer from internal struggles usually stemming from the social standards put upon them. The stress this age group is found under, as well as the expectations the older population holds for them, can lead to an unstable mind. This is where suicide enters the picture.""",<a href='sites/flagstaff.html'>MORE DETAILS</a>
39.164245,-111.809816,<h3>American Indian Overrepresentation and Spiritual Inequality in the US Penal System</h3>,<h4>Central Utah Correctional Facility</h4>,"""In the United States penal system there is an overrepresentation of ethnic minorities, specifically American Indians. Within the correctional facilities, American Indian inmates are isolated from their communities and often times denied basic rights, such as the freedom to practice religion and the right to maintain traditional and cultural customs. American Indians have been advocating for their inmates to have access to their religious needs in a way that is comparable to other religions represented within the prison system. There are many prisons that completely restrict the rights of minority religions as they do not align with prison policy, but there are others that see the benefit to having their inmates maintain a connection with their religion as a means to assist in rehabilitation and cooperation. ""","""<a href='sites/incarceration.html'>MORE DETAILS</a>"
47.449,-124.1776,<h3>Global Warming</h3>,<h4>Quinalt Indian Nation</h4>,"""Quinalt Indian Nation are greatly impacted by global warming. There land has been deemed unsafe to live in and they need the help of the US government to relocate their entire reservation.""","""<a href='https://github.com/leejesonja/indian-country-ss16.git> </a>"""
46.4770361,-84.3201267,<h3> Environmental Sustainability </h3>,<h4> Sault Ste. Marie Tribe of Chippewa Indians </h4>,"""Managing the changing environment is an important topic for all populations on earth. This case study looks at past portrayals of American Indian roles in environmental sustainability, the current environmental issues facing indigenous communities, and what one community is doing to make a difference.""","""<a href='sites/environmental-sustainability.html'>MORE DETAILS </a>"""
